feature,feature_group,currently_used,missing_values_train,unique_values,data_type,leakage_risk,scientifically_reasonable_for_crop_recommendation,anova_f,p_value,eta_squared,mutual_info,mean_range_across_crops,normalized_mean_range,mean_Maize,mean_Rice,mean_Soybean,mean_Wheat,std_Maize,std_Rice,std_Soybean,std_Wheat
Irrigation_Frequency,Location/agricultural variables,False,0,29,int64,LOW,Context-dependent,0.6169048558363728,0.603982723030531,0.00023140148941982306,0.012585381763629666,0.31668499999999966,0.03793320155478181,15.005874,14.689189,14.781873,14.952099,8.468815,8.275424,8.289495,8.360231
Mn,Soil nutrients,True,0,10000,float64,LOW,Yes,0.6028873156012953,0.6130716774843721,0.00022614468828391414,0.0,0.24032199999999904,0.03328269198396864,12.675948,12.447791,12.688113,12.484359,7.227371,7.30206,7.190656,7.162431
Wind_Speed,Environmental/weather variables,False,0,10000,float64,LOW,Yes,0.5291434972298709,0.6622564696144994,0.0001984886699244319,0.0,0.22857199999999978,0.03956168693371135,10.004029,9.852674,10.081246,9.987206,5.803043,5.741392,5.808599,5.757406
CEC,Soil properties,False,0,10000,float64,LOW,Yes,0.4889828728031407,0.6899292466419096,0.00018342665594348883,0.006672530118677411,0.4891939999999977,0.037494656904579815,27.439793,27.756619,27.928987,27.698731,12.925786,13.208528,13.055475,12.99834
Zn,Soil nutrients,True,0,10000,float64,LOW,Yes,0.4217292914472975,0.7374206847302565,0.00015820256607994843,0.0,0.08999600000000019,0.03134798090187228,5.080503,5.096191,5.006195,5.031977,2.877754,2.876545,2.853993,2.875191
Mo,Soil nutrients,False,0,10000,float64,LOW,Yes,0.38631687470995163,0.7628682992110296,0.00014492029373112188,0.0,0.007769000000000026,0.027283476606614312,0.504032,0.50332,0.511089,0.509849,0.285596,0.286262,0.282447,0.284699
Year,Location/agricultural variables,False,0,25,int64,LOW,Yes,0.3668518448219943,0.7769416481041299,0.00013761931674609893,0.0,0.21357999999986532,0.02965460779560267,2012.013216,2011.89605,2011.918825,2012.10963,7.231469,7.201982,7.161869,7.213694
Mg,Soil nutrients,False,0,10000,float64,LOW,Yes,0.3643957783992488,0.7787204762388684,0.00013669808636602751,0.0,4.185393999999974,0.02957956179114658,256.820073,252.634679,256.426715,254.541784,142.655268,140.515176,142.311494,140.502647
Solar_Radiation,Environmental/weather variables,False,0,10000,float64,LOW,Yes,0.289411093712736,0.8330845586969565,0.000108571662782183,0.003919945251670942,6.733007000000043,0.026027924895329648,554.382186,547.649179,548.017755,550.568868,259.393068,261.089806,258.133527,256.119487
K,Soil nutrients,True,0,10000,float64,LOW,Yes,0.27596639448744575,0.8427807959063598,0.00010352844826740298,0.0,1.9951190000000025,0.028620427990366567,129.193215,127.906468,129.901587,129.115728,70.189863,70.936273,69.103088,68.609234
GDD,Environmental/weather variables,False,0,10000,float64,LOW,Context-dependent,0.22655376378130906,0.8779738822860929,8.499293708499582e-05,0.008893234139799588,18.761598999999933,0.02324685278103682,1588.252369,1586.692698,1595.855423,1605.454297,805.345992,809.380606,815.065941,798.446428
Fe,Soil nutrients,True,0,10000,float64,LOW,Yes,0.18983572158062578,0.9033726541475177,7.121893509899995e-05,0.0028109243647223003,0.30992599999999726,0.021415150979932865,25.4304,25.395179,25.26911,25.120474,14.347843,14.465744,14.580307,14.495214
Ca,Soil nutrients,False,0,10000,float64,LOW,Yes,0.18726601658769249,0.9051158936325222,7.025495005888917e-05,0.0,12.038189999999872,0.02143932340403567,1013.902285,1024.961766,1012.923576,1018.380281,563.362657,557.756205,557.659881,567.223105
N,Soil nutrients,True,0,10000,float64,LOW,Yes,0.15415556824475848,0.9270531084690712,5.783391176584775e-05,0.0,1.0987539999999996,0.020162406296332293,104.80997,105.04661,103.947856,104.769527,54.4888,55.231057,54.225148,54.035722
P,Soil nutrients,True,0,10000,float64,LOW,Yes,0.06652443962284986,0.977656538216877,2.4958521487710328e-05,0.003273236088554121,0.5502779999999916,0.013138908982691284,77.879214,77.502436,78.052714,77.653151,41.256916,41.884113,42.466565,41.918644
