Soil_Moisture,Humidity,Temperature
58,70.81,27.49
67,74.25,25.54
40,70.81,29.15
78,92.25,27.42
86,78.62,18.83
92,75.31,24.75
52,61.56,19.69
89,83.88,29.94
89,83.81,26.85
54,68.31,16.06
66,71.62,15.89
54,67.31,30.04
53,68.75,17.65
85,88.56,28.38
51,78.38,28.02
61,79.81,27.44
83,86.75,29.58
43,71.06,18.43
64,82.25,23.44
71,86.19,28.67
94,85.44,27.93
78,89.0,28.55
62,71.88,21.5
83,77.62,20.59
95,90.19,28.56
94,90.44,28.3
61,63.62,19.58
84,85.12,20.81
80,80.06,21.02
58,70.25,21.48
57,62.5,18.69
95,94.75,27.21
35,41.0,28.08
91,90.0,28.39
83,85.0,21.76
50,64.88,18.05
70,79.88,18.37
91,90.31,28.77
41,65.0,23.78
65,80.75,30.33
49,60.69,32.81
66,73.75,16.65
73,75.88,16.25
47,71.94,24.07
79,90.06,27.66
90,90.88,28.63
95,92.75,28.31
91,92.06,26.89
48,54.88,22.19
62,64.94,16.57
91,81.75,22.98
54,52.81,15.67
42,58.12,27.31
82,86.12,29.26
38,66.81,26.37
80,79.69,15.55
61,58.88,22.52
95,92.56,27.15
83,87.38,29.01
85,90.81,28.52
86,89.94,28.66
52,79.81,30.39
37,53.44,21.62
77,89.0,28.83
53,75.88,31.35
88,87.0,26.07
92,92.19,27.84
70,87.19,28.42
46,68.25,28.86
55,55.12,18.1
88,84.94,28.29
81,88.81,28.55
90,90.31,28.05
95,91.62,27.93
33,40.75,28.17
94,94.31,28.35
79,87.94,29.06
70,77.38,17.35
80,83.88,29.67
52,71.0,30.48
66,74.88,18.17
91,89.88,28.76
84,87.81,29.62
99,95.19,27.8
48,53.75,17.8
39,68.81,30.5
92,87.69,28.04
59,82.75,28.79
77,87.19,28.61
91,93.81,27.64
34,49.06,30.36
55,72.44,30.07
88,87.94,28.7
90,88.75,28.57
93,88.5,28.49
34,62.06,29.8
91,91.44,28.15
86,86.19,27.4
78,85.75,28.74
91,86.75,29.86
89,90.69,28.74
95,94.38,27.15
88,87.19,29.44
90,90.88,27.62
50,70.38,30.45
78,88.31,29.26
82,90.69,25.79
38,42.88,30.78
91,90.19,29.08
85,92.75,27.44
76,81.75,18.57
74,83.31,28.1
85,87.5,27.92
76,91.12,26.86
51,63.12,21.56
88,82.81,20.42
41,52.25,20.2
86,87.0,24.51
80,79.31,17.4
77,83.62,17.67
64,68.0,19.81
64,65.75,15.89
73,82.56,27.73
47,73.06,23.78
41,67.19,28.17
73,82.62,28.44
59,66.94,17.38
91,91.56,28.27
47,72.75,30.9
83,79.06,20.88
84,81.75,20.47
92,90.25,27.96
76,88.75,27.69
89,90.88,28.45
90,89.12,27.56
46,55.56,17.73
32,30.69,26.82
95,93.0,27.83
38,46.94,26.08
78,86.31,29.01
95,89.75,28.23
91,89.44,28.24
87,81.12,27.08
93,93.38,28.18
93,90.25,28.62
49,64.0,18.91
94,91.44,27.86
92,80.25,29.77
50,48.56,24.63
80,84.5,15.34
58,63.56,18.1
38,50.38,21.94
88,76.5,22.32
64,65.62,21.19
58,64.38,22.69
43,51.31,27.01
81,69.5,22.76
57,88.69,27.28
90,91.69,28.41
59,83.0,29.73
61,67.25,22.49
85,79.19,26.67
91,86.12,28.15
82,73.44,24.01
92,93.25,26.55
62,55.69,22.12
59,66.5,15.99
89,90.19,28.29
78,92.06,27.62
92,92.56,27.51
84,89.94,28.15
78,86.12,28.44
48,43.06,23.02
70,74.25,22.64
61,61.94,14.05
96,90.75,28.21
77,89.44,28.73
73,76.5,28.93
90,86.5,29.11
66,69.94,22.33
97,90.69,27.97
69,74.19,16.89
91,89.56,24.12
91,91.81,28.08
95,81.19,29.51
57,70.12,23.94
89,90.69,27.78
46,51.69,24.8
34,37.44,32.39
49,71.12,25.98
85,90.19,28.92
77,77.69,16.04
92,91.12,28.26
41,39.62,19.83
96,93.75,26.44
77,86.81,29.16
76,84.88,26.6
59,81.94,30.15
91,89.56,29.08
66,65.44,22.65
60,87.38,28.71
37,64.19,32.07
77,88.31,28.53
45,67.0,25.48
38,50.5,28.71
87,84.12,25.28
44,48.81,15.32
86,83.88,22.8
93,93.19,27.51
91,92.25,28.51
45,49.31,19.26
38,54.12,28.23
52,58.38,16.76
89,85.38,28.19
83,85.94,21.07
95,88.62,29.09
80,80.62,20.89
45,56.0,27.38
83,84.31,16.62
84,89.44,28.39
43,82.56,26.62
84,87.94,29.2
91,91.25,27.76
91,91.56,28.44
91,87.62,28.42
55,61.12,17.77
80,87.19,18.45
51,50.25,21.11
51,70.69,31.73
82,85.88,27.37
53,55.0,18.95
69,67.25,15.73
82,90.0,29.06
93,89.44,28.25
82,74.12,19.99
96,91.19,28.0
84,71.19,26.9
88,82.81,27.42
42,45.31,27.24
73,82.38,18.73
45,69.75,27.45
78,86.62,28.37
84,88.0,28.83
84,89.62,28.08
82,89.56,18.15
74,82.44,25.13
45,47.81,17.76
44,49.88,19.34
91,86.0,27.73
81,84.12,29.51
60,57.62,20.44
52,75.25,26.21
43,71.56,31.33
93,85.94,29.42
52,71.31,30.76
81,87.19,28.76
43,61.12,27.86
41,58.12,24.53
77,85.56,28.61
91,91.38,27.79
93,91.06,28.17
80,82.0,17.89
91,86.88,28.54
48,56.19,22.23
38,66.5,23.96
68,69.06,14.6
68,76.31,14.31
91,91.5,28.43
38,52.81,29.85
90,85.25,28.54
34,51.75,33.25
73,73.94,15.4
82,84.0,25.78
60,75.06,22.56
98,94.62,27.61
93,83.94,29.4
86,87.44,28.07
94,84.69,29.4
72,75.88,23.15
56,77.5,22.12
47,36.5,22.55
78,90.81,27.98
77,81.12,19.15
80,73.0,18.88
90,80.94,28.37
82,84.38,16.0
42,55.62,19.8
93,85.62,26.13
81,78.12,17.23
32,41.88,33.9
91,87.94,28.55
77,65.75,14.64
68,67.56,21.9
90,90.75,28.41
93,89.94,27.9
53,89.25,29.14
78,94.5,27.18
84,88.0,27.75
92,88.31,27.94
45,53.69,24.22
82,80.38,20.37
81,75.56,22.93
68,73.12,18.21
79,78.81,28.94
84,86.81,29.03
87,80.88,28.63
39,47.75,20.58
93,90.62,28.06
81,80.56,28.8
95,93.75,27.73
53,79.31,30.73
49,71.12,30.58
92,84.19,24.48
91,90.5,28.41
93,89.88,28.4
51,54.19,17.23
91,92.5,28.78
86,90.69,23.89
91,92.69,27.55
93,87.88,28.66
77,74.88,19.51
80,75.62,18.83
97,93.81,27.18
46,61.88,30.52
68,87.31,27.75
44,53.25,28.13
77,80.5,17.9
79,93.5,27.23
75,78.56,27.21
65,73.38,17.48
91,86.25,30.11
81,79.88,20.4
77,88.62,28.53
40,60.38,29.61
51,64.75,32.08
41,64.75,22.78
82,87.19,18.35
33,47.19,33.06
82,79.31,23.9
93,89.5,28.67
70,78.12,18.86
53,78.44,26.8
61,71.69,21.8
94,85.19,29.19
96,84.62,29.51
43,53.12,29.28
44,52.12,16.42
80,84.62,20.21
98,94.44,27.41
77,84.69,19.05
65,75.31,22.32
78,85.94,28.6
92,90.81,28.63
63,83.25,28.48
87,84.19,23.26
92,88.94,28.24
91,87.0,26.82
54,77.06,30.66
84,92.81,28.57
41,56.12,32.81
84,75.25,26.58
94,85.0,28.06
96,94.25,27.37
80,74.44,22.83
84,86.06,27.65
42,52.19,32.08
52,70.12,26.02
95,90.81,28.58
55,58.69,17.37
76,65.06,15.56
51,63.81,25.2
94,94.62,26.88
87,76.81,21.78
82,87.56,29.44
91,84.12,28.77
78,88.12,28.92
91,94.12,26.74
97,92.31,28.15
88,82.12,21.39
57,79.88,27.19
98,90.62,28.27
82,71.5,18.97
92,80.88,29.36
95,90.19,28.37
89,87.12,28.97
80,93.31,23.01
56,65.88,17.76
41,43.56,26.51
81,89.69,29.05
80,82.44,16.76
52,57.81,20.6
93,91.31,28.55
82,73.31,23.39
92,81.88,29.19
94,92.12,28.04
46,50.31,17.1
59,79.94,25.32
87,78.06,27.05
43,52.81,19.02
61,81.0,26.54
81,81.12,18.7
95,91.75,27.57
84,90.62,29.26
96,91.56,27.94
87,84.25,26.12
89,89.31,28.45
81,70.38,23.45
43,74.56,27.47
47,72.75,19.87
41,54.94,18.47
77,83.69,16.6
77,77.25,20.19
45,63.44,26.2
79,90.69,28.02
77,85.25,28.66
45,73.31,26.89
95,90.12,27.33
78,89.62,28.0
35,41.5,29.01
70,86.0,29.22
76,80.06,20.13
85,86.81,29.37
36,73.88,29.41
35,36.31,28.91
80,80.62,27.51
77,86.62,29.26
52,67.62,32.38
94,89.44,27.48
88,90.56,27.18
89,89.12,27.61
83,71.62,24.44
95,91.81,27.08
91,93.25,27.92
85,79.44,22.92
76,85.62,26.62
40,70.75,29.69
80,87.56,14.88
51,60.5,23.21
79,88.75,28.51
77,88.31,28.84
93,90.31,28.75
44,59.5,30.54
91,71.94,27.88
91,91.0,28.45
88,85.31,28.58
47,55.44,16.37
91,94.81,27.78
79,78.94,11.98
38,51.75,29.86
93,87.31,28.21
98,94.12,26.84
89,89.75,28.15
36,62.75,31.38
77,92.19,27.86
93,91.06,27.83
92,87.69,29.48
72,82.75,26.58
52,55.69,14.44
80,82.81,16.73
79,91.62,28.03
69,85.44,28.37
87,79.81,20.83
90,85.25,27.07
43,68.88,29.2
82,78.81,17.6
52,74.5,31.21
39,36.94,26.72
51,61.25,26.01
76,83.62,27.7
91,87.31,25.34
85,79.5,22.15
73,83.25,27.47
45,46.5,25.95
92,94.56,26.16
94,93.44,27.45
51,57.12,24.19
86,87.38,24.13
55,88.38,20.73
38,48.81,27.25
36,72.0,29.74
92,86.94,28.51
52,73.44,28.48
78,75.94,29.06
82,80.94,18.53
56,78.75,30.37
92,85.12,24.82
33,53.88,30.01
91,88.75,29.12
89,89.94,28.01
81,76.38,20.93
81,86.56,30.12
52,52.62,22.69
94,91.44,28.35
96,89.0,28.51
95,89.5,28.8
71,74.06,22.9
58,85.44,29.34
70,75.88,23.23
80,75.31,25.76
82,76.69,24.12
86,77.94,26.55
94,90.38,28.49
45,61.12,27.68
91,90.56,28.23
95,89.12,28.36
77,79.75,19.0
68,87.44,28.78
79,86.12,27.3
83,77.0,22.77
74,83.62,29.0
88,78.38,29.19
83,86.06,21.79
54,77.75,30.87
88,83.69,28.08
88,89.06,28.29
80,79.69,18.75
90,88.31,28.73
93,81.5,26.94
35,49.56,26.42
90,89.75,27.45
56,84.06,29.09
70,79.75,16.83
79,89.5,28.33
47,72.19,30.68
94,88.5,27.05
57,63.0,23.05
88,89.25,28.26
88,88.5,28.93
81,83.06,16.4
76,61.06,14.6
91,89.5,28.87
43,64.25,27.94
62,72.0,16.95
93,88.94,28.82
95,88.12,28.31
59,73.81,21.7
79,82.88,18.93
81,86.06,27.2
54,77.38,30.83
89,92.06,27.65
80,77.94,16.24
66,66.31,16.91
76,82.88,26.58
86,94.88,23.57
91,92.38,27.94
70,67.12,21.97
95,91.5,27.9
82,85.88,18.8
73,87.06,28.16
84,87.25,29.44
92,81.69,23.89
83,72.88,24.21
61,69.44,23.94
65,67.94,16.1
91,90.0,27.19
70,83.69,27.48
80,84.88,26.86
71,73.0,18.55
36,55.12,32.12
73,83.81,19.23
71,87.06,29.02
53,74.44,19.4
96,93.19,26.8
91,88.0,28.39
36,56.62,31.32
66,71.56,22.71
88,81.12,25.44
66,72.0,19.76
82,86.44,29.02
79,87.56,28.7
41,58.25,19.55
80,74.62,18.94
91,91.5,28.1
91,87.69,29.19
86,80.31,20.76
91,90.06,28.98
93,89.25,26.52
62,55.38,21.67
94,89.81,28.46
38,39.62,18.54
49,66.0,31.36
89,89.5,28.78
83,82.88,30.63
91,88.25,28.73
92,84.5,23.8
89,81.44,23.8
90,79.0,22.7
88,81.12,30.15
57,71.69,18.04
79,83.38,29.39
51,46.31,19.44
84,78.0,16.8
94,94.88,26.84
52,55.62,19.87
91,87.69,28.65
88,86.44,27.76
34,63.88,32.6
40,55.69,23.78
45,66.5,25.55
89,88.81,28.37
88,85.25,25.26
51,69.44,28.23
59,75.81,21.47
55,72.0,20.21
83,85.19,28.38
90,86.94,29.16
80,84.0,19.3
76,79.0,15.89
78,78.69,14.76
80,85.81,18.3
47,62.81,25.73
91,90.56,28.14
39,67.56,32.19
95,91.38,28.31
91,90.62,28.72
81,85.31,20.58
91,94.62,27.02
76,84.25,28.73
88,76.75,20.98
96,90.81,28.65
64,59.75,17.15
81,87.19,18.78
88,88.44,28.06
63,66.19,16.19
63,70.88,20.65
45,53.5,18.06
42,72.75,31.23
80,89.88,26.4
69,81.12,27.6
80,83.06,14.29
94,90.88,27.87
42,64.81,26.3
66,72.38,22.85
77,70.38,16.06
93,91.0,28.8
52,76.81,31.18
64,73.88,21.81
91,88.88,28.74
97,91.38,27.87
61,75.94,21.65
83,78.19,19.5
56,68.62,20.94
45,63.06,17.15
83,87.31,28.76
45,58.94,16.44
80,83.56,20.05
76,89.25,27.93
51,50.88,25.16
89,92.19,27.96
43,77.38,26.98
60,79.0,27.73
82,79.56,24.52
55,64.88,18.09
60,71.06,21.26
94,93.56,26.93
78,93.94,27.2
50,78.94,28.33
45,57.31,16.8
41,67.62,29.96
43,71.38,25.91
39,67.12,32.21
40,60.5,32.46
91,93.44,27.3
59,72.62,23.19
91,91.44,27.51
80,84.31,18.62
91,87.5,28.09
95,85.88,29.77
55,71.5,30.3
74,86.56,29.2
56,78.12,29.23
87,83.5,22.91
36,64.12,32.23
68,76.38,22.41
82,89.75,28.86
78,91.62,27.4
95,87.0,27.71
91,92.31,28.08
90,89.75,28.65
98,88.62,28.73
93,92.5,28.34
83,78.75,20.9
45,59.69,17.28
96,94.25,28.13
41,53.38,28.15
80,81.19,15.9
94,91.12,27.65
89,90.44,22.86
80,79.5,20.65
97,87.56,27.61
79,86.62,27.67
55,60.81,24.16
51,62.94,33.3
84,86.25,28.69
95,87.56,28.96
77,90.69,27.84
97,91.44,28.21
55,76.56,17.44
34,54.62,33.3
83,77.0,22.02
69,76.06,18.5
45,70.06,27.58
81,74.5,22.9
41,65.44,32.75
55,60.19,21.83
77,88.06,28.73
76,83.69,16.52
81,81.69,21.46
45,66.88,28.08
96,91.62,27.52
92,86.94,27.62
62,61.88,18.32
92,91.62,27.89
52,76.12,31.47
59,84.62,29.13
52,73.19,30.8
81,81.88,23.9
89,91.06,28.78
78,87.25,29.28
79,85.69,29.29
76,87.44,27.55
91,83.69,25.94
74,82.19,18.18
89,89.12,28.52
78,87.19,28.58
94,92.31,28.8
80,74.5,12.3
95,91.12,28.19
88,90.69,28.19
80,78.19,19.17
92,88.81,28.71
42,73.62,28.5
48,64.81,19.73
63,71.12,24.12
64,66.75,21.58
78,89.81,28.8
41,44.12,19.08
62,42.94,21.08
46,72.62,30.39
41,64.38,32.51
38,59.88,31.44
71,88.56,28.45
92,85.12,28.42
86,88.94,27.58
79,87.62,27.99
84,88.0,29.05
96,92.44,28.25
62,76.12,28.39
90,89.75,28.78
77,89.38,28.18
90,90.75,27.84
90,86.06,28.89
61,55.25,23.02
88,91.44,27.64
80,74.75,25.15
38,50.75,20.11
89,93.19,28.06
55,76.19,28.19
87,85.94,24.76
67,72.06,22.66
91,83.56,25.82
86,88.12,27.0
78,82.44,14.56
80,77.94,19.51
43,74.06,28.17
88,91.5,27.79
93,91.12,25.92
76,83.12,27.29
79,90.25,28.13
44,59.75,18.01
51,61.06,21.18
94,91.88,28.32
90,87.75,24.25
86,81.81,29.16
83,87.0,29.94
52,60.81,13.76
49,65.44,19.29
88,83.62,25.38
45,57.0,17.68
94,92.62,28.33
80,76.56,18.53
77,85.5,29.26
38,42.25,22.78
92,91.38,28.17
90,85.88,24.19
43,54.94,21.08
91,93.81,28.61
67,71.44,19.91
38,65.19,25.51
90,91.06,27.72
61,54.75,18.72
46,63.06,18.06
62,84.06,27.34
83,79.62,16.53
43,68.31,25.73
98,91.19,28.22
98,94.0,27.41
75,91.38,27.05
79,80.0,14.23
93,85.12,27.04
47,54.81,16.65
91,91.75,28.33
51,75.0,31.08
91,90.88,29.17
91,87.56,28.87
95,93.38,26.4
92,87.56,27.41
73,70.0,14.69
51,68.62,24.2
45,59.06,18.53
34,67.31,31.88
91,79.0,22.24
91,91.62,28.44
91,90.94,27.56
41,50.19,26.3
86,90.31,24.19
95,87.62,29.07
45,61.06,26.4
95,90.69,28.05
97,92.31,27.49
51,73.31,32.16
48,43.81,23.87
40,46.25,20.42
86,76.25,21.78
91,84.12,29.8
91,92.0,28.61
38,64.88,32.9
90,86.25,26.83
77,87.12,29.21
95,88.38,29.19
44,46.88,15.19
73,85.5,18.64
82,84.62,17.89
76,88.94,27.9
50,77.88,29.41
91,91.75,28.71
76,79.75,22.33
43,61.69,18.18
91,89.25,28.91
42,51.75,27.3
93,91.38,27.89
89,84.0,28.87
69,64.31,16.73
59,61.62,21.48
62,70.94,20.76
89,90.25,28.62
38,64.62,30.49
96,88.88,29.45
78,89.06,27.52
67,72.0,22.23
66,70.38,16.61
98,89.75,27.98
92,88.88,28.55
93,86.94,27.61
89,90.56,28.94
53,85.31,29.55
93,91.81,28.38
46,70.69,24.31
47,61.94,17.22
89,94.44,25.75
83,84.56,19.05
91,93.06,27.64
80,75.25,25.21
94,87.62,28.54
62,71.88,15.45
95,90.69,28.95
58,86.56,27.58
77,83.69,16.82
34,43.56,28.8
87,77.25,22.3
59,71.5,31.37
45,64.69,17.15
48,48.69,24.08
83,78.25,19.92
43,68.0,20.71
76,76.31,18.76
69,86.31,26.76
87,78.0,20.55
90,89.81,27.34
40,68.75,31.98
94,88.5,28.65
83,73.12,24.59
95,89.19,28.36
90,86.12,29.49
83,80.94,17.55
90,83.19,29.33
55,64.12,20.36
93,90.5,27.67
65,73.12,17.56
76,72.44,16.79
47,71.75,25.68
91,91.75,26.46
84,88.19,20.93
80,80.69,14.52
73,74.5,23.64
48,49.25,22.76
91,84.19,29.87
42,63.81,21.66
86,76.31,29.37
75,81.56,17.41
83,87.88,28.95
91,87.19,28.82
89,85.81,28.24
90,92.31,28.32
80,83.25,15.15
90,93.44,27.38
49,61.5,17.36
79,84.81,29.76
91,90.75,28.47
82,83.56,16.38
82,78.38,21.69
61,64.19,22.25
76,84.5,19.55
80,84.94,29.78
90,90.81,28.84
88,83.56,20.77
83,84.69,19.46
88,91.25,27.57
91,92.19,27.37
72,86.38,28.41
82,89.5,28.91
51,75.69,30.2
87,85.56,28.62
90,87.06,28.12
80,70.56,11.84
83,80.38,18.98
46,68.19,22.2
90,90.0,27.9
80,69.19,25.0
77,89.38,28.28
91,89.88,28.67
76,82.62,18.37
64,60.94,15.15
34,74.81,27.52
88,86.06,27.47
51,70.75,30.19
82,77.75,19.33
93,92.19,27.43
91,80.69,23.01
42,46.25,26.65
89,90.06,28.17
70,81.94,17.44
83,82.69,16.46
46,60.56,32.51
62,61.88,25.4
84,87.81,27.98
89,90.75,24.56
95,89.44,29.0
69,77.12,19.65
89,80.69,29.31
86,87.25,27.76
35,63.12,30.58
88,89.94,28.07
82,73.94,15.9
88,82.06,29.8
84,75.44,21.7
95,95.31,28.02
62,70.88,21.13
91,86.38,28.64
92,87.69,28.86
80,79.81,20.06
80,76.62,18.44
38,62.12,29.58
70,80.12,17.88
39,33.5,27.11
93,89.56,28.06
90,93.69,28.27
91,91.62,28.37
88,84.62,29.9
97,88.5,28.98
76,86.69,22.1
96,92.06,28.19
47,70.88,30.28
45,66.88,24.85
82,76.88,16.1
58,82.62,30.09
79,85.44,29.35
66,64.81,15.38
78,93.12,28.12
81,70.75,25.25
79,85.44,29.81
93,91.06,28.09
89,90.25,27.76
91,91.56,28.21
97,95.25,26.34
88,79.5,24.01
51,61.0,32.01
77,89.56,28.54
88,87.38,29.37
46,62.94,25.83
44,58.44,29.66
40,68.44,30.55
82,80.62,21.46
91,90.31,27.9
91,76.31,23.22
74,84.25,26.26
88,86.12,26.65
47,68.12,28.9
51,71.31,31.65
61,58.56,19.79
51,51.19,24.74
80,79.31,25.18
51,62.38,20.01
93,89.5,27.8
37,48.94,21.08
89,90.25,28.46
76,82.5,20.82
54,62.5,18.89
95,93.19,27.64
90,80.44,29.5
38,65.75,32.41
52,76.88,31.31
40,65.81,25.55
70,81.94,19.68
93,89.06,28.27
52,62.31,16.11
56,78.06,29.51
69,82.81,27.82
62,73.0,19.21
86,83.44,28.65
64,77.31,16.44
91,90.0,27.91
79,86.88,28.51
41,65.31,28.3
86,81.81,28.66
88,84.19,27.58
41,64.5,20.88
59,84.44,29.65
84,88.62,20.84
44,53.75,19.3
48,74.75,20.37
93,86.75,26.54
40,44.38,26.77
97,95.19,27.45
85,75.0,24.17
95,93.19,28.01
94,94.19,27.01
96,93.19,27.67
57,65.88,22.9
38,67.75,30.19
89,85.19,29.19
90,81.38,23.6
82,72.19,23.98
78,85.56,28.83
92,89.44,28.05
80,77.69,25.49
84,83.44,20.93
76,89.81,27.98
53,58.44,16.55
53,88.69,28.9
92,81.81,28.95
92,92.44,27.89
43,76.81,28.85
86,80.69,28.76
82,95.0,23.65
51,73.06,29.99
75,84.5,29.94
82,79.19,18.93
55,61.5,24.1
82,86.44,29.64
95,86.69,28.52
85,85.56,22.0
90,87.69,28.44
95,93.38,27.89
78,89.81,28.07
45,66.12,28.85
70,65.81,15.63
83,84.12,17.05
81,88.69,29.51
88,84.12,25.5
58,72.0,24.0
88,83.31,23.0
89,81.56,23.19
91,88.44,29.06
95,91.88,27.83
85,91.88,28.01
92,89.56,28.39
66,80.0,17.73
82,93.69,25.26
76,78.94,16.64
80,73.81,19.82
91,85.62,23.48
82,81.88,30.19
66,68.5,15.98
93,88.94,29.17
55,75.5,17.48
91,91.81,27.08
51,60.25,24.83
71,75.56,25.72
45,34.0,21.12
71,80.06,16.93
37,44.5,28.1
91,90.75,27.83
77,89.5,28.95
88,91.81,28.02
91,91.69,28.75
40,80.31,25.47
41,66.56,31.33
49,47.25,23.23
89,83.81,29.26
94,93.44,27.56
48,52.56,17.9
91,88.69,28.87
78,89.19,28.18
62,68.5,19.42
35,52.06,29.27
84,85.88,20.71
78,87.12,29.01
34,52.81,33.5
79,92.88,23.01
51,72.25,26.71
84,91.12,28.48
89,82.69,29.37
43,48.0,18.68
90,90.31,28.24
91,85.06,29.26
39,44.44,24.89
95,91.56,27.59
90,89.75,29.2
36,61.81,31.25
38,64.44,33.49
83,74.31,27.6
79,92.12,27.62
94,84.5,29.15
95,89.44,28.12
40,49.5,17.75
86,78.38,21.12
73,88.81,19.29
91,92.06,27.37
47,56.62,18.73
88,82.81,25.12
91,90.94,27.49
92,89.69,28.75
95,93.81,27.52
77,91.69,27.98
91,91.06,27.78
78,73.81,28.26
74,85.31,27.51
96,84.06,28.22
82,78.19,15.44
98,90.44,28.29
89,80.38,28.39
41,60.81,30.09
91,95.44,26.19
46,39.0,25.06
77,70.0,14.93
91,91.94,23.98
80,70.44,25.21
40,55.25,32.94
96,91.06,28.73
62,78.06,22.8
91,87.75,28.53
87,92.5,22.58
71,70.69,16.02
62,64.69,20.33
91,90.94,28.29
84,83.06,18.67
91,91.25,28.24
59,76.88,30.5
88,85.94,27.07
97,91.25,28.55
